minute,mid,bid,ask,signal,quoted_bid,quoted_ask,inventory,cash,execution,pnl
87,88.36206469381605,88.33706469381605,88.38706469381606,0.797075442833969,88.35300620267273,88.40300620267274,-6,557.2690493705117,,27.096661207615284
88,88.56234768064543,88.53734768064542,88.58734768064544,-0.5600443633633352,88.52614679337816,88.57614679337817,-6,557.2690493705117,,25.89496328663904
89,89.40064291250039,89.37564291250038,89.4256429125004,0.4506102308297398,89.38465511711698,89.43465511711699,-7,646.7037044876287,sell,20.899204100125985
90,87.71885809943126,87.69385809943125,87.74385809943126,0.06431161571074044,87.69514433174547,87.74514433174548,-7,646.7037044876287,,32.67169779160986
91,88.66628334010377,88.64128334010377,88.69128334010378,0.8788416310203372,88.65886017272418,88.70886017272419,-7,646.7037044876287,,26.03972110690222
92,88.57055448694317,88.54555448694316,88.59555448694317,0.33600080337474186,88.55227450301065,88.60227450301066,-7,646.7037044876287,,26.709823079026478
93,88.37613489570278,88.35113489570277,88.40113489570278,-0.29896244280049944,88.34515564684676,88.39515564684677,-7,646.7037044876287,,28.07076021770922
94,88.50062779507824,88.47562779507824,88.52562779507825,-0.9832227252564842,88.4559633405731,88.50596334057312,-7,646.7037044876287,,27.199309922080943
95,89.09308124195317,89.06808124195317,89.11808124195318,0.9999126456660363,89.08807949486649,89.1380794948665,-7,646.7037044876287,,23.052135793956495
96,90.73437727634067,90.70937727634066,90.75937727634067,0.9713113262724701,90.72880350286611,90.77880350286613,-7,646.7037044876287,,11.563063553243978
97,90.15919278710585,90.13419278710585,90.18419278710586,0.9106646295394246,90.15240607969663,90.20240607969664,-7,646.7037044876287,,15.589354977887751
98,89.36066999789465,89.33566999789464,89.38566999789465,0.8058819011624403,89.35178763591789,89.4017876359179,-7,646.7037044876287,,21.179014502366158
99,90.15777978815797,90.13277978815796,90.18277978815797,0.9863433826592855,90.15250665581115,90.20250665581116,-7,646.7037044876287,,15.59924597052293
100,89.61139079800719,89.58639079800719,89.6363907980072,0.7473785442978836,89.60133836889314,89.65133836889315,-7,646.7037044876287,,19.42396890157829
101,88.7194466380299,88.69444663802989,88.7444466380299,-0.9974868106273774,88.67449690181734,88.72449690181735,-8,735.428201389446,sell,25.672628285206883
102,89.23929473942607,89.21429473942607,89.26429473942608,-0.9411398098169157,89.19547194322973,89.24547194322975,-8,735.428201389446,,21.513843474037458
103,89.37890347134181,89.35390347134181,89.40390347134182,0.034660622013605945,89.35459668378208,89.40459668378209,-9,824.8327980732281,sell,20.422666831151787
104,89.56374097256857,89.53874097256856,89.58874097256857,-0.9299543923579885,89.5201418847214,89.57014188472141,-10,914.4029399579495,sell,18.765530232263814
105,90.78033089415939,90.75533089415939,90.8053308941594,0.9107758124131939,90.77354641040765,90.82354641040766,-10,914.4029399579495,,6.599631016355488
106,88.69233038151688,88.66733038151688,88.71733038151689,-0.03518734807412007,88.6666266345554,88.71662663455541,-10,914.4029399579495,,27.47963614278069
107,88.7106022744831,88.68560227448309,88.7356022744831,-0.5513602822891194,88.6745750688373,88.72457506883731,-10,914.4029399579495,,27.29691721311849
108,89.3324935718868,89.3074935718868,89.3574935718868,-0.054344475216148436,89.30640668238247,89.35640668238248,-10,914.4029399579495,,21.07800423908145
109,88.83515178499889,88.81015178499888,88.86015178499889,-0.6777112117360702,88.79659756076416,88.84659756076417,-10,914.4029399579495,,26.05142210796066
110,88.5327445128458,88.50774451284579,88.5577445128458,-0.9999991802973089,88.48774452923985,88.53774452923986,-10,914.4029399579495,,29.075494829491504
111,86.70708533537942,86.68208533537941,86.73208533537942,-0.9623165668291177,86.66283900404282,86.71283900404283,-10,914.4029399579495,,47.33208660415528
112,86.59211882153541,86.5671188215354,86.61711882153541,-0.9320029397509143,86.54847876274039,86.5984787627404,-10,914.4029399579495,,48.48175174259541
113,87.10538263030861,87.0803826303086,87.13038263030862,-0.9712084454086303,87.06095846140043,87.11095846140044,-10,914.4029399579495,,43.349113654863345
114,86.95832078749659,86.93332078749658,86.9833207874966,-0.9835523822798926,86.91364973985098,86.963649739851,-10,914.4029399579495,,44.81973208298359
115,87.70366409946729,87.67866409946728,87.7286640994673,-0.9564902044390776,87.6595342953785,87.70953429537852,-9,826.7434056625709,buy,37.410428767365374
116,86.93552568988916,86.91052568988916,86.96052568988917,0.5093945087302081,86.92071358006376,86.97071358006377,-10,913.7141192426348,sell,44.35886234374311
117,87.23780022308067,87.21280022308066,87.26280022308067,0.9682381830310515,87.23216498674128,87.2821649867413,-10,913.7141192426348,,41.33611701182804
118,87.1346106764411,87.1096106764411,87.1596106764411,0.09362425403843712,87.11148316152186,87.16148316152187,-9,826.6026360811129,buy,42.39113999314304
119,86.97340155241795,86.94840155241795,86.99840155241796,0.048848999540832196,86.94937853240876,86.99937853240877,-9,826.6026360811129,,43.84202210935132
120,87.33659320893527,87.31159320893526,87.36159320893528,-0.973292027571328,87.29212736838383,87.34212736838384,-9,826.6026360811129,,40.57329720069549
121,87.43251648521883,87.40751648521882,87.45751648521883,0.9924492236567345,87.42736546969195,87.47736546969196,-10,914.0800015508048,sell,39.7548366986166
